text,label
create a new event,simple
create a new event tomorrow,simple
create a new event today,simple
create an event,simple
create an event today at 8 pm,simple
create an event tomorrow at 10 am,simple
create a new event at 4 pm tomorrow at Wean Hall called studying,simple
create a new event called studying,simple
create a new event called studying at 11 pm tonight,simple
add a new event,simple
add event,simple
can you create a new event,simple
event,simple
what are my upcoming events,simple
upcoming events,simple
events today,simple
what are my events today,simple
events tomorrow,simple
what are my events tomorrow,simple
what is on my calendar for today,simple
time,simple
whats the time,simple
what is the time,simple
tell me the time,simple
date,simple
whats the date,simple
what is the date,simple
tell me the date,simple
day,simple
what is the day,simple
tell me the day,simple
whats the day,simple
create a new note,simple
make a new note,simple
create a note,simple
can you create a new note,simple
make a new note called studying,simple
create a new note and call it work,simple
read a note,simple
read note,simple
read a note called work,simple
read a note that is called work,simple
edit a note,simple
edit note,simple
edit a note called work,simple
delete a note,simple
delete note,simple
delete a note called work,simple
list my notes,simple
list notes,simple
list all of my notes,simple
add studying to my to do list,simple
add studying to my to do list,simple
add something to my to do,simple
read my to do,simple
read my to do list,simple
read to do list,simple
show my to do list,simple
clear my to do,simple
clear my to do list,simple
clear to do,simple
remove number 1 from my to do,simple
remove 1 from my to do list,simple
hi,simple
hello,simple
good morning,simple
hi sam,simple
what is the size of the sun,query
explain lagrange multipliers to me,query
explain this to me,query
i am confused about this,query
what is the tallest building in pittsburgh,query
how tall is the empire state building,query
what is a derivative,query
explain how integrals work,query
what does lagrange multipliers mean,query
define a matrix,query
can you explain eigenvalues,query
what is the chain rule,query
tell me about linear regression,query
how does gradient descent work,query
what is the capital of germany,query
how do solar panels work,query
what is a black hole,query
who is alan turing,query
why is the sky blue,query
what is the meaning of life,query
how do batteries store energy,query
what causes inflation,query
explain relativity,query
define entropy,query
how does the stock market work,query
what is machine learning,query
do I have any free time tomorrow,agent
when is my next event,agent
am I free tonight,agent
is my day busy,agent
what can I do before my next meeting,agent
do I have anything after lunch,agent
what's the earliest time I'm available,agent
how does my day look,agent
suggest a time for a new meeting,agent
can I schedule studying after dinner,agent
do I have any notes about the project,agent
what are the events before noon,agent
when am I available this evening,agent
what events are overlapping,agent
check if my calendar is full tomorrow,agent
make a note about groceries,simple
what's on my todo list,simple
add laundry to my todo,simple
delete the note titled 'meeting',simple
clear my list,simple
what day is it today,simple
current day of the week,simple
get today's date,simple
list my notes,simple
remove item 3 from todo,simple
add a note titled 'ideas',simple
note: upcoming deadlines,simple
update note called 'books',simple
open note 'recipes',simple
set a reminder to stretch,simple
what time is it in my timezone,simple
show upcoming events,simple
show notes,simple
how do I use a semicolon,query
what is entropy in physics,query
can you explain the pythagorean theorem,query
what's the capital of australia,query
how does a rocket work,query
why is water wet,query
define cognitive bias,query
how do I solve a quadratic,query
what does AI mean,query
explain how photosynthesis works,query
who was isaac newton,query
how do volcanoes form,query
what is recursion,query
explain how cars work,query
how do plants grow,query
what is a vector,query
how does bluetooth work,query
tell me about relativity,query
what are black holes,query
explain what a derivative is,query
do I have free time between 1 and 3,agent
when is my next available slot,agent
what can I schedule after 6pm,agent
do I have any conflicts tomorrow,agent
is there time for a meeting this afternoon,agent
what's my calendar like next week,agent
can I add something at 10am,agent
do I have anything after lunch,agent
remind me if 3pm is open,agent
is there time for a break today,agent
what notes are related to project,agent
am I free in the evening,agent
check my availability for Thursday,agent
when do I have time to study,agent
is 5pm a good time,agent
tell me what I can do after dinner,agent
do I have anything after my last meeting,agent
can I reschedule something for tomorrow,agent
time,simple